Проект,Категории,Цена,Заявки

Редизайн сайта (4 страницы),[],103 заявки,Требуется

"Разработать ""Модуль автоматического обновления"" для ПО на Qt, ТЗ есть,[],4 заявки,Есть"

Front & back-end разработчики в веб-студию (Москва),[],11 заявок,Добрый

Написать JS код,[],9 заявок,Задача:

Заказ №849382,[],15 заявок,Переводы•9

Парсер + бот в Telegram на Bot API,[],12 заявок,Нужно

Доработать сайт,[],18 заявок,Сайт:

Подписать приложение с помощью terminal на macbook.,[],нет заявок,нет

Специалист по продаже сетевого оборудования,[],15 заявок,Мы

Нарисовать интуитивное восприятие ряда слов.,[],110 заявок,Требуется

Интернет магазин постельного белья.,[],33 заявки,Необходимо

"Заказ №847733,[],20 заявок,""3D-графика,"""

Заказ №847979,[],52 заявки,Веб-программирование•17

Написать техническую документацию по реализацию email-клиент-сервера,[],5 заявок,Нужно

Заказ №845976,[],26 заявок,Веб-программирование•23

Заказ №846265,[],14 заявок,Веб-программирование•25

Нужен копирайтер на постоянку в фитнес тематику,[],38 заявок,Приветствую

Доработка проекта на CodeIgniter,[],29 заявок,Доброго

Есть дизайн,нужен сайт(верстка,программинг,наполнение),[],38 заявок,Проект

Баннеры (обложки-тамбы) для блог-постов + для Facebook,[],1 заявка,Нужно

"Рерайт новостей с ИСХОДНИКА,[],1 заявка,""Приветствую,"""

Доработка форума phpBB,[],нет заявок,нет

Адаптивно сверстать сайт,[],5 заявок,Доброй

Сайт. Медицинский,[],29 заявок,Всем

Битрикс24,[],нет заявок,нет

Подредактировать шапку на вордпресс,[],1 заявка,Здравствуйте!

Дизайнер для логотипа ведущего,[],11 заявок,Просто

Адаптация и доработки шаблона opencart,[],1 заявка,Добрый

Необходимо в WP изменить форму заказа,[],3 заявки,Есть

Аудит Яндекс-директа,[],2 заявки,Спецы

Рерайт медицинский новостей в Санкт-Петербурге и Москве,[],нет заявок,нет

Название+сайт,[],2 заявки,Вид

Нужно сделать сайт на Yii2,[],1 заявка,Требуется

Обновление магазина на движке Vamshop,[],1 заявка,Необходимо

"Требуется ""руководитель проекта"" со знанием кода,[],5 заявок,Требуется"

Сделать рип шаблона для WP,[],нет заявок,нет

Придумать Логотип и фирменный стиль.,[],15 заявок,Придумать

Придумать название и логотип,[],10 заявок,доброе

Нужен человек который понимает в ворпресе,[],4 заявки,нужно

Верстка сайта,[],9 заявок,Необходимо

Перевести несколько изображений в векторный формат,[],5 заявок,Требуется

Верстка сайта медицинских консультаций,[],12 заявок,Всего

Установить верстку на Bitrix,[],5 заявок,ТЗ

Нужен юрист для составления апелляции в районный суд Москвы.,[],1 заявка,Дело

Доработать сайт на Wordpress,[],5 заявок,http://u0101166.isp.regruhosting.ru/

Обработка фото,[],14 заявок,Нужно

Доработка сайта,[],2 заявки,Есть

Аудит РК в Google Adwords,[],3 заявки,Необходимо

Единоразовый парсер для интернет-магазина,[],5 заявок,Есть

Консультация сайту, посвященный казино/рулетке на CsGO вещи.,[],2 заявки,Добрый

Внести изменения на сайте (Ruby on Rails),[],1 заявка,Есть

Задание на доработку сайта mirpd.ru,[],1 заявка,Перестала

Изменения скрипта будильника,[],2 заявки,Есть

Доделать верстку адаптивного сайта. Срочно,[],2 заявки,У

Изменить раскраску изображения (погрузчик) + обтравка по контуру,[],12 заявок,Необходимо

Сделать карту google,[],4 заявки,На

Нужен копирайтер,[],11 заявок,Добр

Jpeg в CorellDraw,[],5 заявок,Есть

Нужны обратные крауд ссылки на английском из форумов и новостников,[],нет заявок,нет

Сайт с личным кабинетом,[],12 заявок,Требуется

Нужно написать серию статей и рерайтов про криптовалюты и оборудование,[],2 заявки,Испонитель

Доработки опенкарт 1.5.5.1 ( установка модулей, визуальные моменты),[],1 заявка,Мелкие

"Внедрение микроразметки на сайте,[],3 заявки,""Здравствуйте,"""
